#router1, port on router1, router2, port on router 2, failure start, failure end
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441278.0,1316441324.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441476.0,1316441503.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441505.0,1316441507.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441615.0,1316441620.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441813.0,1316441838.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441840.0,1316441840.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441967.0,1316441972.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316442003.0,1316442125.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316442126.0,1316442127.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316442276.0,1316442348.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316442349.0,1316442352.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316442458.0,1316442519.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316453459.0,1316453500.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319094472.0,1319095106.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319095660.0,1319102287.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319547932.0,1319548070.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319747728.0,1319753707.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319758119.0,1319759169.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319760699.0,1319760750.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319760914.0,1319761690.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319762030.0,1319762826.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1319772420.0,1319773721.0
